task_id,dataset,repetition,reference_correct,candidate_correct,same_content,reference_finish,candidate_finish,reference_tokens,candidate_tokens,latency_ratio_reference_over_candidate,tps_ratio_candidate_over_reference,reference_record,candidate_record,reference_sha256,candidate_sha256
MATH-500/205,math_500,0,True,True,False,stop,stop,1343,1376,6.671056461152518,6.834976686929163,results/baseline/primary/repeat-0/MATH-500_205.json,results/dflash15/primary/repeat-0/MATH-500_205.json,305b8c6483b6cd75fa13884cd9071e140d9b045e0ba9f04d4905cf84efe184fb,7fe3b75e14666957d94c7167ce7087ba450bc98941ac415472d4456906e71a31
MATH-500/206,math_500,0,True,True,True,stop,stop,489,489,6.365622377088088,6.365622377088088,results/baseline/primary/repeat-0/MATH-500_206.json,results/dflash15/primary/repeat-0/MATH-500_206.json,6487574e3d73ba5f54ef9b5ef23360aa09af01d70cec539f5d2e10c492732f94,95ecefdb0b98dff4d98880acc3de883209badf21dc847ef2bdd60f6466bee2be
MATH-500/207,math_500,0,True,True,True,stop,stop,588,588,4.724441004990424,4.724441004990423,results/baseline/primary/repeat-0/MATH-500_207.json,results/dflash15/primary/repeat-0/MATH-500_207.json,4a4e440c5d2a699fb7fd8d37b1b94e25985f03711eaa2e9b7c1fbfb125aca62f,6dd4ffd2c6c1b4461d79d5ca6571a9d5a32217b209c99a012498b65861f074fd
MATH-500/208,math_500,0,True,True,False,stop,stop,525,517,5.1620623401394585,5.083402342575429,results/baseline/primary/repeat-0/MATH-500_208.json,results/dflash15/primary/repeat-0/MATH-500_208.json,3c42fadef8c62cb840aee0e672ae3e1bd9ce489953155299f00e72b02310aa91,a0129e6d25e0800f9664e8a991ee94f8dc64352da9f011cf2da954912f8afa9d
MATH-500/209,math_500,0,True,True,False,stop,stop,1096,1194,5.0813168405460205,5.535668163879515,results/baseline/primary/repeat-0/MATH-500_209.json,results/dflash15/primary/repeat-0/MATH-500_209.json,14b34616325f78211c189dc81e47b3362289b3925b67c75e5c9911e5bb1da2ef,f959df01282abaa33ce3627bc348c2574b9dcb08dc97a485c2f43e8306082691
MATH-500/210,math_500,0,True,True,False,stop,stop,3147,3974,3.4125241463513025,4.3093012258023755,results/baseline/primary/repeat-0/MATH-500_210.json,results/dflash15/primary/repeat-0/MATH-500_210.json,df013aa32a10b46f2ae165ee7f66aac59f283933fb6f5811c0ab558dd72fb538,0934d350aeba529651005479deec288d8540d478de8023f72841dc3d61d7d3e8
MATH-500/211,math_500,0,True,True,True,stop,stop,554,554,5.587276623702728,5.587276623702728,results/baseline/primary/repeat-0/MATH-500_211.json,results/dflash15/primary/repeat-0/MATH-500_211.json,8e17f06777cea25d875e87a30e4cf75dca2440eaa7ddf2eb830c4501c3e0e184,00d3757d23a876949d2da0a386473d572bfe32237c489dc6130a891e251b23dd
MATH-500/212,math_500,0,True,True,True,stop,stop,657,657,5.651937290993599,5.651937290993599,results/baseline/primary/repeat-0/MATH-500_212.json,results/dflash15/primary/repeat-0/MATH-500_212.json,6d1e2d20dfc952a01a5e858baf40f912202ae6bd8a7d826d2184c8a92d3eaabd,ea441761c4317d2df27e825ea40e097979a4d4df50a8466d7307827a8cc1c94f
MATH-500/213,math_500,0,True,True,False,stop,stop,1993,1385,8.293577313118215,5.7634744499090464,results/baseline/primary/repeat-0/MATH-500_213.json,results/dflash15/primary/repeat-0/MATH-500_213.json,ef1807259446faf342c67b5d4cb0998a060ee38bdc50150892054a7e713fc477,8e7c6d2b0b055210723bf711cbf564a540efeb801ed092f460299beebac1c70d
MATH-500/214,math_500,0,True,True,False,stop,stop,1047,1047,6.132387098701182,6.132387098701182,results/baseline/primary/repeat-0/MATH-500_214.json,results/dflash15/primary/repeat-0/MATH-500_214.json,d2a00b01c2352f8436e1a4e19bab3b342a1dc8ad6fb93c0f6811aece669ef775,fd33aea8c5338c81b4e4a8ec75a2d07a9f0b26403e020ed2363ca439b572a050
MATH-500/215,math_500,0,True,True,True,stop,stop,716,716,6.087020686303206,6.087020686303206,results/baseline/primary/repeat-0/MATH-500_215.json,results/dflash15/primary/repeat-0/MATH-500_215.json,70375d2c5c2b536735ac3867f95457285e3a8aa0fd75766a740a9224eff25363,148118d674ff6409610573271a4d708383f60c35a199c83320548da7c3789651
MATH-500/216,math_500,0,True,True,False,stop,stop,481,476,4.92544806120601,4.8742479774096905,results/baseline/primary/repeat-0/MATH-500_216.json,results/dflash15/primary/repeat-0/MATH-500_216.json,5187375bd3898af921cc69004a197662d7738f6ff83f5b4cd7a0e48674830376,0e8eaa66e583011a1c019b5e1e43a5c3b873252cc33a3266c420b5ee1d9c0bdd
MATH-500/217,math_500,0,True,True,False,stop,stop,2039,1960,3.8394638907553764,3.6907058488869726,results/baseline/primary/repeat-0/MATH-500_217.json,results/dflash15/primary/repeat-0/MATH-500_217.json,21084264dbcc0e665d4d22868f334cdba44af192799f34faae0bde6b361d1393,c99a29a1fef1a23bc90c91c52ff90bf953318de23b5808cf78def957abffeb73
MATH-500/218,math_500,0,True,True,True,stop,stop,248,248,6.036979224831314,6.036979224831314,results/baseline/primary/repeat-0/MATH-500_218.json,results/dflash15/primary/repeat-0/MATH-500_218.json,85ef7e8890c584fbf8ef682c961a45fea52c9650d9baa4ff641bd3f92b8e0628,ef7fb544d5c111692dc7335e5c03e4be8eecf427eedd9f7dadc0dece27b751e2
MATH-500/219,math_500,0,True,True,False,stop,stop,2991,3211,5.494285912654489,5.898412592956725,results/baseline/primary/repeat-0/MATH-500_219.json,results/dflash15/primary/repeat-0/MATH-500_219.json,8882d8dde1db8dee0d988d0cbf38258011ac971a074bda0f1969b64acbe1b6aa,f744f68157cee205bf0fab3ed0c51ee8bd369ad403c2673eeff704968eab7575
MATH-500/220,math_500,0,True,True,True,stop,stop,502,502,5.195028381598437,5.195028381598437,results/baseline/primary/repeat-0/MATH-500_220.json,results/dflash15/primary/repeat-0/MATH-500_220.json,c7501fba3de791bbd1e27fb9ad8ce70137966f2d2dd191236e4e273b91ce83ba,c69d1e858514dcc2bb590142b8968f7d956ad27a4f9bdbdf56cf71d2d3631442
MATH-500/221,math_500,0,True,True,True,stop,stop,1096,1096,5.827540693361401,5.827540693361401,results/baseline/primary/repeat-0/MATH-500_221.json,results/dflash15/primary/repeat-0/MATH-500_221.json,1280ee5489d9a17d8398a0c442f46def3e6a78be7f5cfa586ca44e66c8fe781d,96bf4e7f673585e4deb8d113a3def741d1cb0ed0aaacbb43af00ba39bee1f8e2
MATH-500/222,math_500,0,True,True,False,stop,stop,3824,2438,5.690623930217328,3.6280703822881395,results/baseline/primary/repeat-0/MATH-500_222.json,results/dflash15/primary/repeat-0/MATH-500_222.json,2b77f6e448d3349fce5bdad32da37d194c06cc495d83d47627ab12fc541dedf8,b0c420a174d4cec88bb857409552c55174b6325c9051e7f2a2fc7f4b5f9ce4fa
MATH-500/223,math_500,0,True,True,False,stop,stop,1040,1011,4.595590592828494,4.467444316682315,results/baseline/primary/repeat-0/MATH-500_223.json,results/dflash15/primary/repeat-0/MATH-500_223.json,eeb1fdb38a67767324e76ad1ffdfa87d6b503f0d8076ff2e25a1caf32a6acff6,de31f156df7e2a1ce0ca76b59c8d51b596281e9c2c956743ec48a882ce27acd9
MATH-500/224,math_500,0,True,True,True,stop,stop,1080,1080,6.25412209161115,6.25412209161115,results/baseline/primary/repeat-0/MATH-500_224.json,results/dflash15/primary/repeat-0/MATH-500_224.json,505b35295fc9557a06fc4c930cceaafc567d892b8ac95ac1046909760a865464,97b4a52305864693a4ef68aa4ebb3792736dfa6269174a1c89f3b4e31022e64f
MATH-500/225,math_500,0,True,True,True,stop,stop,748,748,6.26082611717709,6.26082611717709,results/baseline/primary/repeat-0/MATH-500_225.json,results/dflash15/primary/repeat-0/MATH-500_225.json,c2010923fcf4315f074e73771162c0acc9d732c3861dfc49334d8766be99945c,855602e8e16cd93b97580071ecdf2767790cd85487d04d3d1d3ab8952da5afad
MATH-500/226,math_500,0,True,True,False,stop,stop,977,941,4.04036819414326,3.8914907581256983,results/baseline/primary/repeat-0/MATH-500_226.json,results/dflash15/primary/repeat-0/MATH-500_226.json,71642ad5c1970125039c6d3e9a09b021d65cf3d73041ef0ba4c51b04f5dce61e,7794e4dd28488bbd657dbadd4a8ebd491d608ee4de91fe72cab67d020ff7a4e9
MATH-500/227,math_500,0,True,True,False,stop,stop,581,549,3.6538750891672525,3.452628956889538,results/baseline/primary/repeat-0/MATH-500_227.json,results/dflash15/primary/repeat-0/MATH-500_227.json,be9ee095394b890e97b052a8d482845c241ee877f8edbc93d4a91bffd8736bf1,0eea8d1f59720e963d9fd65dcd6f45cea4ed6ee39fc52b7ea81bf65d73fc6b87
MATH-500/228,math_500,0,True,True,False,stop,stop,1635,1609,6.915322736409835,6.8053543014577516,results/baseline/primary/repeat-0/MATH-500_228.json,results/dflash15/primary/repeat-0/MATH-500_228.json,e6ddd42d0f6f5f5a6ee20b18075e28038ebc73f2bc3a4625ad6403a0f08deded,881bb193578cd85542bf4d00fbabb0f55eb7abeec2b60ed19fae0e13c62c5a6c
MATH-500/229,math_500,0,True,True,False,stop,stop,514,512,4.0119524820611625,3.9963417720142322,results/baseline/primary/repeat-0/MATH-500_229.json,results/dflash15/primary/repeat-0/MATH-500_229.json,6a4b35045aff4509229b22c4b8edc33212e0dcaceec62cd64453ddedb8eff803,13c86a89a1bedad4e9ed5b58276642edc9efa2c1cd85ad62289eae15c94e4537
MATH-500/230,math_500,0,True,True,False,stop,stop,1064,1000,5.6544352350929,5.31431882997453,results/baseline/primary/repeat-0/MATH-500_230.json,results/dflash15/primary/repeat-0/MATH-500_230.json,28789d15df477749ad9f53e51ea63c1ed98cedf63f4b440a039804e17afcc473,1fa9cc4522d6c5e611fad0219310339a0edb972dbade9f93df0282a9374eab83
MATH-500/231,math_500,0,True,True,True,stop,stop,1054,1054,5.956087213224293,5.956087213224293,results/baseline/primary/repeat-0/MATH-500_231.json,results/dflash15/primary/repeat-0/MATH-500_231.json,861b51df662de43ed2ebe5335bea53cc47f669d5fbf5eebaf21350ab1805081f,726dde8810c4f3193e473e778fb53f8288ff6887f18ef55f87d4b1b77d7922ab
MATH-500/232,math_500,0,True,True,False,stop,stop,2268,1828,5.47444305722239,4.412381793916459,results/baseline/primary/repeat-0/MATH-500_232.json,results/dflash15/primary/repeat-0/MATH-500_232.json,c912477e59b0ba93ba98d79f6d70b21ff1aeed80e36314223ab2abb13d3007dc,913172c6b2617b2ea1468ef90b2913bf22de4d993c42f2f2d5567efaa39ccb38
MATH-500/233,math_500,0,True,True,True,stop,stop,686,686,6.33690454040641,6.33690454040641,results/baseline/primary/repeat-0/MATH-500_233.json,results/dflash15/primary/repeat-0/MATH-500_233.json,adba38751bc65bd94483336750d78a2c9f0f4811f4314aca6bca26004b13ea57,90af39a582ee0b8821cf6f5c75d77e8d73296ab7f876f4aab16fbe0e09b9f408
MATH-500/234,math_500,0,True,True,False,stop,stop,1207,1298,5.6567497996006715,6.083232178858054,results/baseline/primary/repeat-0/MATH-500_234.json,results/dflash15/primary/repeat-0/MATH-500_234.json,31645a5a13fd0e6e87cfeb22bffc92522d0ca2e70e6f500d5730f319325d68b3,0e2f7d1d30e36265697cec5ac74c8d772dcf5974f01cd37f4ee01c79503799e4
MATH-500/235,math_500,0,True,True,True,stop,stop,474,474,5.583451029090521,5.583451029090521,results/baseline/primary/repeat-0/MATH-500_235.json,results/dflash15/primary/repeat-0/MATH-500_235.json,2c250d403c705ecc8a485b58e5dd43eff678d2bbf1ea67e805b88597074ec38a,98089c25aeb09750a1fa06e3524cf83a6e09137f51e35d6e03b60893ec1cc38d
MATH-500/236,math_500,0,True,True,False,stop,stop,2846,2834,5.094982715946606,5.073500005970724,results/baseline/primary/repeat-0/MATH-500_236.json,results/dflash15/primary/repeat-0/MATH-500_236.json,fe3b1f3474481c892ca18b0bf7cd7a66facee3003b4d94a1217f8bc53ced3446,73801051fb23112f74247b070b1f6306336919246c401028a1b2f004344e230e
MATH-500/237,math_500,0,True,True,True,stop,stop,801,801,5.189536379639162,5.189536379639162,results/baseline/primary/repeat-0/MATH-500_237.json,results/dflash15/primary/repeat-0/MATH-500_237.json,013f6c8df2a8e68233d5d914a91a0d86acb7b74cd48923e729a28b2d9d371ff4,40dfef7ed9e1d1146ae066c5fab4f60a11d774d820befdc70bfa3f4aa11e9544
MATH-500/238,math_500,0,True,True,False,stop,stop,816,1021,3.9937939403626546,4.99713678077239,results/baseline/primary/repeat-0/MATH-500_238.json,results/dflash15/primary/repeat-0/MATH-500_238.json,158c0492db325756d185e454717b3d24de4161d09100bf39ef4f6c6cbccfd701,9ac4c7e6fd797005c627e9c71912503473de55d063ab5f6359ee93d11656caac
MATH-500/239,math_500,0,True,True,False,stop,stop,4226,4810,3.766593382337991,4.287106996934628,results/baseline/primary/repeat-0/MATH-500_239.json,results/dflash15/primary/repeat-0/MATH-500_239.json,bb331564f0386580d1a3ab66338d8cb70b02f876c52b90a6c577ab06742bb118,633e2a370de1b1b7ad9e1dffcb65ba0c9db0db972fb8cc4d383101dd77a35e56
MATH-500/240,math_500,0,False,False,False,stop,stop,2915,1228,8.28200471132683,3.488954300346259,results/baseline/primary/repeat-0/MATH-500_240.json,results/dflash15/primary/repeat-0/MATH-500_240.json,0b14ef9664d9fe40f51c591ec395dab2ab999e1248ac9f2d887fd02e32cc24fc,bb177a17e12c55b163e5cee7c922da56fa9ffcc34e9d0c8cb9491d77175f9d77
MATH-500/241,math_500,0,True,True,False,stop,stop,1141,1044,5.814792299262102,5.3204585104554205,results/baseline/primary/repeat-0/MATH-500_241.json,results/dflash15/primary/repeat-0/MATH-500_241.json,35dbced2f97096287a471a85f3bd5d78af6677e8074bc2f338eff8652a5a3307,45026e2040593c5d68ebaf69f1d04777dba4a711e7c84bacc485f922f2040c52
MATH-500/242,math_500,0,True,True,False,stop,stop,521,521,4.69355308713068,4.69355308713068,results/baseline/primary/repeat-0/MATH-500_242.json,results/dflash15/primary/repeat-0/MATH-500_242.json,ae8c8dbc466efde07182021e9372634edcebf62a3606e4522e70217b149a465d,be478831aa3696be9839538078b9f5d526057868e80187b7fa6204ed2245f9e8
MATH-500/243,math_500,0,True,True,True,stop,stop,454,454,4.778317622766728,4.778317622766728,results/baseline/primary/repeat-0/MATH-500_243.json,results/dflash15/primary/repeat-0/MATH-500_243.json,c012d4a896f84c15042617c991f6d2e22091afba4e8bb77a277fa10028bf87a2,d17844eec4e835d71f13bd79fb67724c5a4fd6be24490f771367d93d80b5e253
MATH-500/244,math_500,0,True,True,False,stop,stop,782,811,5.392509815027867,5.592487800495652,results/baseline/primary/repeat-0/MATH-500_244.json,results/dflash15/primary/repeat-0/MATH-500_244.json,25abbfa507e58b6853bc990f276e3930edf656a7d42452a51cd4b5c4ec7c59fe,9ff3858648512128d22f16a15a19cdd434689eeb09516cf0350921e94846817a
MATH-500/245,math_500,0,True,True,True,stop,stop,1400,1400,6.402281187950208,6.402281187950208,results/baseline/primary/repeat-0/MATH-500_245.json,results/dflash15/primary/repeat-0/MATH-500_245.json,568fcda03e2ae72c6b1b5f495198aba7e31c07d3713920596ea027a7bc1b7cb0,cbe132909072ac6c2dc57f7f5505da2ca4fc4f86e28388db06b3a4dea0b7c2d0
MATH-500/246,math_500,0,True,True,True,stop,stop,569,569,4.545159859123876,4.545159859123876,results/baseline/primary/repeat-0/MATH-500_246.json,results/dflash15/primary/repeat-0/MATH-500_246.json,8c9816ce05f6c84f832e88bf2a199708ff7f5c0c44b27d1d6662a2ecc4f733fa,c2aab25a420ed7d516b176d8592a060d0629b56e2855fb3cd89d4802a0e8cf60
MATH-500/247,math_500,0,True,True,False,stop,stop,871,944,4.8156398087681715,5.219246819147134,results/baseline/primary/repeat-0/MATH-500_247.json,results/dflash15/primary/repeat-0/MATH-500_247.json,8ab87986fa81df8b8de92cdae3001e9a8cb43f2356b1d5a7fb3f7710c85d758a,487f943b3d973dd4a7e7329d9b35c2ff5233454d1f4df6b8ce248bae631b8837
MATH-500/248,math_500,0,True,True,False,stop,stop,2418,2704,5.5286809495620215,6.182610954348927,results/baseline/primary/repeat-0/MATH-500_248.json,results/dflash15/primary/repeat-0/MATH-500_248.json,83ce171f3d27fcaa31f9fd590b54b746d99a4c9f614b88f9fa5bfdf98474da6e,5e948b51970e97b85ba998f41b39d45afb483b7a88465aa0b813e4221e82cb38
MATH-500/249,math_500,0,True,True,False,stop,stop,878,900,5.108328635293657,5.2363277582736805,results/baseline/primary/repeat-0/MATH-500_249.json,results/dflash15/primary/repeat-0/MATH-500_249.json,a543adb845545621fb705687a8050a1711823bfc110f57e5acb3b49588646526,64e5df4301b903324dd02423f6c8a88ada33feffc365281d557a79d604743fe4
MATH-500/250,math_500,0,True,True,True,stop,stop,748,748,6.266420345171598,6.266420345171598,results/baseline/primary/repeat-0/MATH-500_250.json,results/dflash15/primary/repeat-0/MATH-500_250.json,2ce937bdfb32b4336b25f7d471801212a02918fdbbdc6a787b5e0ac2781b4e49,d1fec2c7a4402d7408781effb5cdcab6fc2fc20f02b23c9fbad188a6e0181544
MATH-500/251,math_500,0,True,True,True,stop,stop,1193,1193,4.277287247914895,4.277287247914895,results/baseline/primary/repeat-0/MATH-500_251.json,results/dflash15/primary/repeat-0/MATH-500_251.json,1b5cb039d88f9da649e07602a199b7de985d85c7c404e832dc1420b1ecf732c8,d2e7a13161fccca446fe13b2156472fb43dceefbffd93664512b73b94124e536
MATH-500/252,math_500,0,True,True,True,stop,stop,783,783,6.425110447347,6.4251104473469995,results/baseline/primary/repeat-0/MATH-500_252.json,results/dflash15/primary/repeat-0/MATH-500_252.json,294c43bdedbafa9833b09a06a82a7d85d20d95e26eb4091f7e38c7fca2efc316,aa3f1956f47810d291721183bd495267c0ac304b85f0beacee2728b02aac8a8a
MATH-500/253,math_500,0,True,True,True,stop,stop,281,281,5.861514991340223,5.861514991340224,results/baseline/primary/repeat-0/MATH-500_253.json,results/dflash15/primary/repeat-0/MATH-500_253.json,c21db8ec1e38f3d91a4dadf7d7a0667c1b0685b0355152c9884c2acbcbf7e979,5224677f3356b014c308d7dd703c691f46b576fe2e994ca4ca9118ee50470581
MATH-500/254,math_500,0,True,True,False,stop,stop,966,910,5.918200926974937,5.575116815266246,results/baseline/primary/repeat-0/MATH-500_254.json,results/dflash15/primary/repeat-0/MATH-500_254.json,3d62e714023054943336ca7d4e2e2265a4c198faac10aa16b7858af06c425a88,8b04565b9c17a124d30c48f143f06ceccb84324daccde67761b64aafb164dc56
MATH-500/255,math_500,0,True,True,False,stop,stop,635,636,5.036946788279182,5.044878987945764,results/baseline/primary/repeat-0/MATH-500_255.json,results/dflash15/primary/repeat-0/MATH-500_255.json,13958ffc682e671911462ff1a45e3ec9ce49064249c87ebf4d3e1fb9349d392e,d4d09ba3a7a53477389415357692e5142b411a880d5a5de37353be2d6cc58c01
MATH-500/256,math_500,0,True,True,True,stop,stop,551,551,5.414768122513869,5.414768122513869,results/baseline/primary/repeat-0/MATH-500_256.json,results/dflash15/primary/repeat-0/MATH-500_256.json,32f837539dfaf16c5ff02a3127a52bfea2e7b061d77cb85daf8deea50dd2494e,ea6411aad9d07bdc46f94df05c9a26a6013ca5cc42b72fd750046e024ee3ed5c
MATH-500/257,math_500,0,True,True,True,stop,stop,529,529,4.79872879213654,4.79872879213654,results/baseline/primary/repeat-0/MATH-500_257.json,results/dflash15/primary/repeat-0/MATH-500_257.json,ec8ffafd5877d534285ad799851550df7f15e98f3267cd7c40ad70018d3e8d80,45e0c60cdb0ab3336057ab1953c9d1927f8948f29c3b22a40a2c3c5e5e47b18c
MATH-500/258,math_500,0,True,True,False,stop,stop,639,649,5.175853350376072,5.2568526203350086,results/baseline/primary/repeat-0/MATH-500_258.json,results/dflash15/primary/repeat-0/MATH-500_258.json,bf3101a69f6dd71e1dad5f630054cbd5af0f8d5e66a9857108886dd091804140,7873b5cc3cc38e9a95c6195d8b3275c93db3a8966b71baf3fbd8335cac441203
MATH-500/259,math_500,0,True,True,True,stop,stop,284,284,5.034958610487369,5.034958610487369,results/baseline/primary/repeat-0/MATH-500_259.json,results/dflash15/primary/repeat-0/MATH-500_259.json,678ddb14ad554d48c287bfe73016d96b806ee7480506e2e142d3a83240428097,9eeb4b9adedc61de7de15f95a97e3119b003d56d9543f0fb6a5d6de7208583bf
MATH-500/260,math_500,0,True,True,True,stop,stop,852,852,6.4573883044447316,6.4573883044447316,results/baseline/primary/repeat-0/MATH-500_260.json,results/dflash15/primary/repeat-0/MATH-500_260.json,86e54d44687bb474c3a4b520657fd0558ded90eea6f8b67bfa1e913736c52986,b61f8187fa29d81ac745ee81fc00aa267566dcaea68d21a242f1fc5bb95d2a5b
MATH-500/261,math_500,0,True,True,True,stop,stop,411,411,4.411541737282432,4.411541737282432,results/baseline/primary/repeat-0/MATH-500_261.json,results/dflash15/primary/repeat-0/MATH-500_261.json,31bc4d95579f79fd5bd9a96651d4b321ced1fa6d11f2569593332499a89fe450,c48aad7a13ff35490b296931cc02c76230f5717f8bc34a9abcfb05432ebf8a3c
MATH-500/262,math_500,0,True,True,False,stop,stop,314,323,5.046762835236397,5.191415273189032,results/baseline/primary/repeat-0/MATH-500_262.json,results/dflash15/primary/repeat-0/MATH-500_262.json,0581057352f316eff3fff2667bff3014a9c269f51dd9dae627c0117caadbbbf5,1990cb9d0a5c637bdcb2609f383055c48e48fc7c2908ad07f449ecc072984e7f
