Epoch,Iter,FP32_Time,FP16_Time,FA2_Time,FP16_Speedup_vs_FP32,FA2_Speedup_vs_FP32,FA2_Speedup_vs_FP16,FP32_Loss,FP16_Loss,FA2_Loss,FP32_Grad,FP16_Grad,FA2_Grad
2,270,4.1260,3.2820,3.2030,1.2572,1.2882,1.0247,116.8171,109.0450,103.5977,89.7791,250.9755,257.5361
2,280,4.1180,3.2840,3.1900,1.2540,1.2909,1.0295,120.6819,107.7609,105.2409,88.9562,256.1703,252.3764
2,290,4.1220,3.2860,3.1950,1.2544,1.2901,1.0285,118.0043,108.9839,103.0681,90.9734,275.1511,249.3726
2,300,4.1120,3.2640,3.1780,1.2598,1.2939,1.0271,116.8618,105.5557,101.2409,90.6016,366.7631,257.0582
3,10,4.7620,3.9410,3.8380,1.2083,1.2408,1.0268,117.9514,105.1550,102.4519,74.9625,247.7616,250.6339
3,20,4.1100,3.2780,3.2450,1.2538,1.2666,1.0102,116.6825,97.7496,96.0097,76.1015,270.1938,275.9722
3,30,4.1130,3.2780,3.1880,1.2547,1.2902,1.0282,113.8214,95.4195,93.6210,75.1731,267.2990,260.7888
3,40,4.1220,3.2840,3.1940,1.2552,1.2905,1.0282,116.5466,97.5083,93.8922,76.6371,250.9699,225.1140
3,60,4.1090,3.2860,3.1910,1.2505,1.2877,1.0298,113.2496,96.1115,93.4258,78.2875,238.3504,226.6773
3,70,4.1150,3.2800,3.1930,1.2546,1.2888,1.0272,116.9302,99.6611,98.3802,78.8748,249.0799,236.8638
3,80,4.1120,3.2860,3.1990,1.2514,1.2854,1.0272,115.4340,99.1093,96.9172,79.1502,237.4137,252.8036
3,110,4.1060,3.2730,3.1880,1.2545,1.2880,1.0267,113.3756,100.9798,97.1633,77.9873,274.1261,285.4066
3,120,4.1070,3.2810,3.1890,1.2518,1.2879,1.0288,111.0141,95.8058,93.2871,77.7834,245.3785,270.6278
3,130,4.1360,3.3410,3.2650,1.2380,1.2668,1.0233,111.0749,95.7740,93.8430,73.7855,240.1308,222.2812
3,140,4.1100,3.2890,3.1940,1.2496,1.2868,1.0297,115.6557,95.9962,94.7710,75.0440,286.1724,249.9963
3,150,4.0960,3.2700,3.1750,1.2526,1.2901,1.0299,117.8941,92.2737,91.5181,78.6664,288.3184,282.5971
3,160,4.1120,3.2770,3.1890,1.2548,1.2894,1.0276,113.4207,89.4005,87.4440,78.2497,227.7044,209.1524
3,170,4.1890,3.2920,3.2060,1.2725,1.3066,1.0268,118.1737,98.3059,96.5568,81.8614,269.5277,235.8492
3,180,4.0970,3.2730,3.1890,1.2518,1.2847,1.0263,113.2854,93.3897,94.1585,85.7020,284.1997,267.2587
3,190,4.1290,3.2890,3.2080,1.2554,1.2871,1.0252,116.5294,100.1542,96.2824,84.7289,223.2376,225.2757
3,200,4.1080,3.2740,3.1950,1.2547,1.2858,1.0247,107.4729,92.4453,89.4876,86.0645,243.0690,246.5436
3,230,4.1070,3.2770,3.1920,1.2533,1.2867,1.0266,109.9205,92.5428,91.0744,89.7191,250.2768,233.7067
3,240,4.1090,3.2720,3.1830,1.2558,1.2909,1.0280,111.7131,94.5392,92.2130,91.1653,262.2098,255.1396
3,250,4.1240,3.2770,3.1910,1.2585,1.2924,1.0270,111.9476,92.6565,90.1235,92.9880,293.1869,314.3062
3,260,4.1130,3.2920,3.1980,1.2494,1.2861,1.0294,111.8044,89.2269,88.9046,90.2659,240.1957,246.3451
3,270,4.1160,3.2950,3.2050,1.2492,1.2842,1.0281,107.7955,88.9206,89.0171,92.5622,260.4068,250.6828
3,280,4.1320,3.3310,3.2460,1.2405,1.2730,1.0262,109.3359,88.5765,89.0473,92.2622,222.9688,221.5426
3,290,4.1380,3.2940,3.2060,1.2562,1.2907,1.0274,110.0405,86.1249,87.0967,89.1259,209.9350,228.9764
3,300,4.1180,3.2840,3.2000,1.2540,1.2869,1.0262,104.9617,83.0977,84.3220,89.5342,223.2512,238.7271
3,320,4.1070,3.2700,3.1810,1.2560,1.2911,1.0280,105.2637,91.0997,89.5690,86.9339,224.4573,243.7501
